name,short_name,english_name,address,location,city,province,phone,email,website,facebook,logo_url,banner_url,description,history,mission,vision,type,status,founded_year,accreditation,specializations,facilities,achievements,ranking_national,ranking_international,student_count,faculty_count,acceptance_rate,tuition_fee_min,tuition_fee_max,currency,admission_requirements,scholarships,international_partnerships,campus_map_url,latitude,longitude,is_featured,is_verified,view_count,review_count,average_rating,total_rating,source,crawled_at
Học viện Công nghệ Bưu chính Viễn thông,Học viện C...,Học viện Công nghệ Bưu chính Viễn thông University,PTIT,[],,,,,BVH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.539971
Học viện Chính trị,Học viện C...,Học viện Chính trị University,,[],,,,,HCB,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540002
Học viện Kỹ thuật Mật mã,Học viện K...,Học viện Kỹ thuật Mật mã University,VACT,[],,,,,KMA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540038
Học viện Ngân hàng,Học viện N...,Học viện Ngân hàng University,BAV,[],,,,,NHH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540069
Học viện Ngoại giao,Học viện N...,Học viện Ngoại giao University,DAV,[],,,,,HQT,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540104
Học viện Nông nghiệp Việt Nam,Học viện N...,Học viện Nông nghiệp Việt Nam University,VNUA,[],,,,,HVN,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540137
Học viện Phụ nữ Việt Nam,Học viện P...,Học viện Phụ nữ Việt Nam University,VWA,[],,,,,HPN,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540164
Học viện Tòa án,Học viện T...,Học viện Tòa án University,CTA,[],,,,,HTA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540185
Học viện Tư pháp,Học viện T...,Học viện Tư pháp University,,[],,,,,HVC,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540207
Học viện Tài chính,Học viện T...,Học viện Tài chính University,AOF,[],,,,,HTC,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540228
Học viện Quân y,Học viện Q...,Học viện Quân y University,,[],,,,,YQH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540250
Học viện Y Dược học cổ truyền Việt Nam,Học viện Y...,Học viện Y Dược học cổ truyền Việt Nam University,,[],,,,,HYD,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540281
Học viện Chính sách và Phát triển,Học viện C...,Học viện Chính sách và Phát triển University,APD,[],,,,,HCP,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540308
Học viện Thanh thiếu niên Việt Nam,Học viện T...,Học viện Thanh thiếu niên Việt Nam University,VYA,[],,,,,HTN,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540331
Học viện An ninh nhân dân,Học viện A...,Học viện An ninh nhân dân University,T31/T01/C500,[],,,,,ANH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540356
Học viện Cảnh sát nhân dân,Học viện C...,Học viện Cảnh sát nhân dân University,T32/T02/T18,[],,,,,CSH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540377
Học viện Phòng không - Không quân,Học viện P...,Học viện Phòng không - Không quân University,,[],,,,,KPH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540399
Sĩ quan Đặc công,Sĩ quan Đặ...,Sĩ quan Đặc công University,,[],,,,,DCH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540422
Sĩ quan Pháo binh,Sĩ quan Ph...,Sĩ quan Pháo binh University,,[],,,,,PBH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540443
Sĩ quan Phòng hóa,Sĩ quan Ph...,Sĩ quan Phòng hóa University,,[],,,,,HGH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540463
Sĩ quan Lục quân 1,Sĩ quan Lụ...,Sĩ quan Lục quân 1 University,,[],,,,,LAH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540484
Học viện Quản lý Giáo dục,Học viện Q...,Học viện Quản lý Giáo dục University,,[],,,,,HVQ,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540507
Học viện Kỹ thuật Quân sự,Học viện K...,Học viện Kỹ thuật Quân sự University,MTA,[],,,,,KQH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540536
Học viện Hậu cần,Học viện H...,Học viện Hậu cần University,,[],,,,,HEH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540558
