name,address,website,type,location,source,combined_at,normalized_name,category,crawled_at
Học viện Nông nghiệp Việt Nam,VNUA,HVN,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712961,Học viện Nông nghiệp Việt Nam,Đa ngành,
Học viện Phụ nữ Việt Nam,VWA,HPN,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712967,Học viện Phụ nữ Việt Nam,Đa ngành,
Học viện Tòa án,CTA,HTA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712972,Học viện Tòa án,Đa ngành,
Học viện Tư pháp,,HVC,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712977,Học viện Tư pháp,Luật,
Học viện Tài chính,AOF,HTC,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712981,Học viện Tài chính,Đa ngành,
Học viện Quân y(Đại học Y - Dược Lê Hữu Trác),,YQH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712986,Học viện Quân y(Đại học Y - Dược Lê Hữu Trác),Y tế,
Học viện Y – Dược học cổ truyền Việt Nam,,HYD,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712991,Học viện Y – Dược học cổ truyền Việt Nam,Y tế,
Học viện Chính sách và Phát triển,APD,HCP,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712994,Học viện Chính sách và Phát triển,Đa ngành,
Học viện Thanh thiếu niên Việt Nam,VYA,HTN,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713000,Học viện Thanh thiếu niên Việt Nam,Đa ngành,
Học viện An ninh nhân dân,T31/T01/C500,ANH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713006,Học viện An ninh nhân dân,Đa ngành,
Học viện Cảnh sát nhân dân,T32/T02/T18,CSH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713011,Học viện Cảnh sát nhân dân,Đa ngành,
Học viện Phòng không - Không quân,,KPH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713016,Học viện Phòng không - Không quân,Đa ngành,
Trường Đại học Sĩ quan Đặc công,,DCH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713021,ĩ quan Đặc công,Đa ngành,
Trường Đại học Sĩ quan Pháo binh,,PBH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713026,ĩ quan Pháo binh,Đa ngành,
Trường Đại học Sĩ quan Phòng hóa,,HGH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713031,ĩ quan Phòng hóa,Đa ngành,
Trường Đại học Sĩ quan Lục quân 1(Trường Đại học Trần Quốc Tuấn),,LAH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713035,ĩ quan Lục quân 1(Trường Đại học Trần Quốc Tuấn),Đa ngành,
Học viện Quản lý Giáo dục,,HVQ,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713044,Học viện Quản lý Giáo dục,Sư phạm,
Học viện Kỹ thuật Quân sự,MTA,KQH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713048,Học viện Kỹ thuật Quân sự,Kỹ thuật,
Học viện Hậu cần,,HEH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713050,Học viện Hậu cần,Đa ngành,
Học viện Khoa học Quân sự,MSA,NQH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.713056,Học viện Khoa học Quân sự,Đa ngành,
